filename,rouge1_f1,rouge2_f1,rougeL_f1,sim_text_mean,sim_text_median,sim_text_std,sim_sum_mean,sim_sum_median,sim_sum_std,length_mean,length_ratio,sum_ratio,god_metric
rag-1_zephyr-7b-beta-Mistral-7B-Instruct-v0.2.Q8_0.gguf-temp0.70_bart-sm-b5-lp0.6(0).json,0.581,0.343,0.457,0.894,0.915,0.096,0.830,0.871,0.121,35.833,0.718,1.354,0.673
rag-1_zephyr-7b-beta-Mistral-7B-Instruct-v0.2.Q8_0.gguf-temp0.70_bart-sm-b5-lp0.6(1).json,0.517,0.280,0.432,0.872,0.931,0.192,0.787,0.826,0.184,53.119,1.007,1.881,0.635
rag-1_zephyr-7b-beta-Mistral-7B-Instruct-v0.2.Q8_0.gguf-temp0.70_bart-sm-b5-lp0.6(2).json,0.569,0.336,0.482,0.900,0.928,0.148,0.820,0.859,0.157,42.857,0.830,1.565,0.672
t5-30-b11-lp0.5.json,0.629,0.458,0.567,0.900,0.930,0.086,0.853,0.869,0.116,29.286,0.614,1.154,0.720
t5-30-b11-lp1.json,0.652,0.472,0.583,0.914,0.935,0.080,0.863,0.883,0.116,33.524,0.670,1.256,0.734
t5-30-b11-lp10.json,0.658,0.471,0.587,0.923,0.945,0.077,0.867,0.881,0.114,36.024,0.716,1.343,0.737
t5-30-b11-lp2.5.json,0.655,0.474,0.589,0.919,0.935,0.076,0.868,0.894,0.115,33.810,0.672,1.262,0.740
t5-30-b11-lp4.json,0.652,0.469,0.584,0.919,0.936,0.077,0.867,0.894,0.115,34.643,0.683,1.283,0.738
t5-30-b11-lp50.json,0.654,0.461,0.584,0.923,0.945,0.085,0.868,0.885,0.108,36.286,0.722,1.359,0.736
t5-small.json,0.659,0.481,0.598,0.953,0.970,0.049,0.871,0.899,0.093,45.048,0.884,1.656,0.751
t5-small_noxgboost.json,0.643,0.468,0.580,0.911,0.934,0.085,0.861,0.883,0.115,31.714,0.652,1.227,0.732
zephyr-7b-beta.json,0.486,0.221,0.380,0.875,0.890,0.070,0.812,0.834,0.099,48.690,1.024,1.867,0.607
